"ID","Title","Published","Solved By","Last Poster","Last Post Date","Solve Status"
1,"Multiples of 3 or 5",1002301200,1034758,jleastral,1754888407,1
2,"Even Fibonacci Numbers",1003510800,823628,reyf,1754833761,1
3,"Largest Prime Factor",1004724000,593403,Klao1960,1754762650,1
4,"Largest Palindrome Product",1005933600,524136,Eman_Eladaly,1754548845,1
5,"Smallest Multiple",1007143200,526471,cutrovic,1754559301,1
6,"Sum Square Difference",1008352800,530193,cutrovic,1754567797,1
7,"10 001st Prime",1009562400,453254,EngelbrechtC,1754762425,1
8,"Largest Product in a Series",1010772000,379868,EngelbrechtC,1754769427,1
9,"Special Pythagorean Triplet",1011981600,385073,Dylan_Scully,1754694572,1
10,"Summation of Primes",1013191200,353827,TheOfficialVenator,1754830335,1
11,"Largest Product in a Grid",1014400800,253982,cutrovic,1754903484,1
12,"Highly Divisible Triangular Number",1015610400,240664,fedandr,1754674933,1
13,"Large Sum",1016820000,245646,Scrapperen,1754907876,1
14,"Longest Collatz Sequence",1018026000,246347,fedandr,1754676819,1
15,"Lattice Paths",1019235600,203766,fedandr,1754903630,1
16,"Power Digit Sum",1020445200,248449,fedandr,1754907072,1
17,"Number Letter Counts",1021654800,165404,Yami98,1754908025,1
18,"Maximum Path Sum I",1022864400,158370,TaGchie_R,1754488584,1
19,"Counting Sundays",1024074000,147003,MrsAristoteles,1753701462,1
20,"Factorial Digit Sum",1024678800,214841,atenglabrador,1754283410,1
21,"Amicable Numbers",1025888400,159672,MrsAristoteles,1753959342,1
22,"Names Scores",1027098000,146603,l33tminion,1753972129,1
23,"Non-Abundant Sums",1028307600,114867,MrsAristoteles,1754901605,1
24,"Lexicographic Permutations",1029517200,125598,MrsAristoteles,1754906057,1
25,"$1000$-digit Fibonacci Number",1030726800,169329,MrsAristoteles,1754896923,1
26,"Reciprocal Cycles",1031936400,92875,xxmn,1754756668,1
27,"Quadratic Primes",1033146000,96351,l33tminion,1754337552,1
28,"Number Spiral Diagonals",1034355600,117713,lemimme,1754872308,1
29,"Distinct Powers",1035565200,115686,l33tminion,1754680632,1
30,"Digit Fifth Powers",1036778400,120286,l33tminion,1754681733,1
31,"Coin Sums",1037988000,94084,l33tminion,1754683860,1
32,"Pandigital Products",1039197600,78921,nick.kahlor,1754549616,1
33,"Digit Cancelling Fractions",1040407200,79174,sukanka,1754224097,1
34,"Digit Factorials",1041616800,103420,MrsAristoteles,1754910079,1
35,"Circular Primes",1042826400,93151,sukanka,1754493217,1
36,"Double-base Palindromes",1044036000,97272,sukanka,1754495031,1
37,"Truncatable Primes",1045245600,81197,SunflowerBoy,1754045493,1
38,"Pandigital Multiples",1046455200,69713,sukanka,1754572655,1
39,"Integer Right Triangles",1047664800,80606,sukanka,1754574413,1
40,"Champernowne's Constant",1048874400,87831,sukanka,1754663628,1
41,"Pandigital Prime",1050080400,75368,sukanka,1754672549,1
42,"Coded Triangle Numbers",1051290000,81612,xxmn,1754827310,1
43,"Sub-string Divisibility",1052499600,66356,xxmn,1754828669,1
44,"Pentagon Numbers",1053709200,65047,xxmn,1754829164,1
45,"Triangular, Pentagonal, and Hexagonal",1054918800,77993,xxmn,1754829593,1
46,"Goldbach's Other Conjecture",1056128400,68384,xxmn,1754833646,1
47,"Distinct Primes Factors",1057338000,64375,xxmn,1754834074,1
48,"Self Powers",1058547600,121859,xxmn,1754836536,1
49,"Prime Permutations",1059757200,64191,xxmn,1754837511,1
50,"Consecutive Prime Sum",1060966800,69278,SunflowerBoy,1754642022,1
51,"Prime Digit Replacements",1062176400,38573,meilbeigi,1754905648,1
52,"Permuted Multiples",1063386000,71736,xxmn,1754839905,1
53,"Combinatoric Selections",1064595600,64809,xxmn,1754840109,1
54,"Poker Hands",1065805200,40391,bestofthe3,1754528585,1
55,"Lychrel Numbers",1067014800,59305,rjn,1754017912,1
56,"Powerful Digit Sum",1068228000,64139,MrsAristoteles,1754910975,1
57,"Square Root Convergents",1069437600,46354,FriendzonedByMath,1753524718,1
58,"Spiral Primes",1070647200,44681,FriendzonedByMath,1753528005,1
59,"XOR Decryption",1071856800,45593,imrgr,1752184070,1
60,"Prime Pair Sets",1073066400,30588,Whzaaa,1753951554,1
61,"Cyclical Figurate Numbers",1074276000,28867,papathurzday,1753968936,1
62,"Cubic Permutations",1075485600,35519,nbfields,1753652946,1
63,"Powerful Digit Counts",1076695200,47781,FriendzonedByMath,1753548301,1
64,"Odd Period Square Roots",1077904800,25079,eoily,1754837307,1
65,"Convergents of $e$",1079114400,33425,eoily,1754873141,1
66,"Diophantine Equation",1080324000,22446,M3trixs,1753345734,1
67,"Maximum Path Sum II",1081530000,103950,<i>quecto</i>,1753957725,1
68,"Magic 5-gon Ring",1082739600,23515,FriendzonedByMath,1753036366,1
69,"Totient Maximum",1083949200,39126,rjn,1754165549,1
70,"Totient Permutation",1085158800,25274,FriendzonedByMath,1752947745,1
