module,registers_commands
solver.ai.api,True
solver.ai.code,
solver.ai.docs,
solver.ai.facts,
solver.ai.models,True
solver.ai.skill,True
solver.ai.update_models,True
solver.auth.authorizations,
solver.auth.identity,
solver.auth.subject,
solver.config,
solver.core.download,
solver.core.evaluate,True
solver.core.list,True
solver.core.new,True
solver.core.problems,
solver.core.results,True
solver.core.test_cases,True
solver.core.viewer,True
solver.crypto.ciphers,
solver.crypto.config,
solver.crypto.gitfilter,
solver.crypto.keys,True
solver.main,
solver.runners.runner,
solver.shell.bash,True
solver.shell.builtins,True
solver.shell.command,
solver.shell.interpreter,
solver.shell.lexer,
solver.shell.parser,
solver.shell.register,
solver.shell.session,
solver.shell.shell,
solver.shell.tty,
solver.shell.variables,
solver.templates.engine,
solver.templates.new,
solver.utils.gh,
solver.utils.linter,True
solver.utils.loader,
solver.utils.misc,True
solver.utils.path_utils,
solver.utils.scripts,True
solver.utils.search,True
solver.utils.shell_utils,True
solver.utils.summary,True
solver.utils.update_doc,True
solver.web.auth.admin,
solver.web.auth.app,
solver.web.auth.client,
solver.web.auth.commands,True
solver.web.auth.config,
solver.web.auth.mail,
solver.web.auth.pages,
solver.web.auth.pending,
solver.web.auth.policy,
solver.web.auth.ratelimit,
solver.web.auth.remember,
solver.web.auth.sessions,
solver.web.auth.srp,
solver.web.auth.storage,
solver.web.auth.tickets,
solver.web.auth.users,
solver.web.csp,
solver.web.site.app,
solver.web.site.config,
solver.web.site.render,
